BOM_Flatburn_V6-05_11_2025,,,,,,,,,,,,,,
Item,Manufacturer,Manufacturer Part Number,ERP_MPN,Designator,Qty,Description,Package / Case,"SMD ,BGA,LLC(QFN),OR  TH",Top/Bottom,X-Ray,Polarity,NotesComments,CustomerComments,MaterialStatus
30,Yageo,RC0402FR-0710KL,C333-RC0402FR-0710KL,"R57, R56, R19, R15, R102, R29, R99, R62, R63, R193, R101, R182, R9, R13, R213, R33, R73, R43, R24, R100, R17, R40, R11, R211, R202, R7, R18, R180, R201, R6, R225, R41, R151, R215, R71, R178, R46, R192, R42, R200",40,"10K,1%,1/16W,0402",0402,SMD,T,,,,,
31,Murata,GRM155C71C105KE11D,C275-GRM155C71C105KE11D,"C166, C121, C139, C132, C171, C127, C137, C173, C161, C144",10,"1uF,16V,10%,X7S,0402",0402,SMD,T,,,,,
32,Vishay,CRCW0402120KFKED,C326-CRCW0402120KFKED,"R187, R186",2,"120K,1%,1/16W,0402",0402,SMD,T,,,,,
33,Susumu,RR0816P-6341-D-78H,C315-RR0816P-6341-D-78H,R68,1,"6.34K,±0.5%,1/16W,0603",0603,SMD,T,,,,,
34,Yageo,RC0402FR-07270RL,C333-RC0402FR-07270RL,R124,1,"270R,1%,1/16W,0402",0402,SMD,T,,,,,
35,Texas Instruments,TXS0102DQER,C319-TXS0102DQER,"U11, U29, U27, U28, U18, U30",6,"TXS0102DQER,8-X2SON (1.4x1.0)",8-X2SON (1.4x1.0),SMD,T,,Yes,,,
36,Murata,GRM1885C1E561JA01D,C275-GRM1885C1E561JA01D,C69,1,"560pF,25V,5%,C0G,0603",0603,SMD,T,,,,,
37,Vishay,CRCW040212K0FKED,C326-CRCW040212K0FKED,"R88, R90, R92, R94",4,"12.0K,1%,1/16W,0402",0402,SMD,T,,,,,
38,Infineon Technologies,BSS209PWH6327XTSA1,C245-BSS209PWH6327XTSA1,Q17,1,"P-CH,20V,630mA,PG-SOT323-3",PG-SOT323-3,SMD,T,,,,,
39,Analog Devices,LTC1966IMS8#PBF,C206-LTC1966IMS8#PBF,U20,1,"LTC1966IMS8#PBF,8-MSOP",8-MSOP,SMD,T,,Yes,,,
40,Murata,LQM18PN2R2MGHD,C275-LQM18PN2R2MGHD,L16,1,"2.2uH,1.05A,20%,70MHz,0603",0603,SMD,T,,,,,
41,Samsung Electro-Mechanics,CL10B105KA8NNNC,C389-CL10B105KA8NNNC,"C116, C45, C47, C46",4,"1uF,25V,10%,X7R,0603",0603,SMD,T,,,,,
42,Ignion,NN02-224,C4880-NN02-224,ANT2,1,12.00mmL*3.00mmW*2.40mmH,12.00mmL*3.00mmW*2.40mmH,SMD,T,,,,,
43,Nichicon,UCM1E221MCL1GS,C279-UCM1E221MCL1GS,"C38, C37",2,"220uF,25V,20%,6.30mmD*8.00mmH,2000Hrs@105℃",6.30mmD*8.00mmH,SMD,T,,Yes,,,
44,Yageo,RE0402DRE0710RL,C333-RE0402DRE0710RL,"R229, R226, R230, R231, R228, R232",6,"10R,±0.5%,1/16W,0402",0402,SMD,T,,,,,
45,JAE Electronics,DX07S024WJ3R400,C251-DX07S024WJ3R400,J3,1,"USB-C,USB 3.2 Gen 2,180°,12.00mmL*5.00mmW*10.00mmH",12.00mmL*5.00mmW*10.00mmH,SMD,T,,Yes,,,
46,Hirose Electric,U.FL-R-SMT-1(10),C241-U.FL-R-SMT-1(10),J11,1,"50R,Male,180°,3.00mmL*3.10mmW",3.00mmL*3.10mmW,SMD,T,,,,,
47,Microchip Technology,MCP6022-I/SN,C269-MCP6022-I/SN,"U22, U34, U19, U35, U31",5,"MCP6022-I/SN,8-SOIC",8-SOIC,SMD,T,,Yes,,,
48,CUI/Same Sky,CMM-2718AT-42316-TR,C372-CMM-2718AT-42316-TR,U21,1,"100 Hz ~ 10 kHz,2 V,2.75mmL*1.85mmW*0.95mm",2.75mmL*1.85mmW*0.95mm,SMD,T,,,,,
